,date,confirmed,death,released,candidate,negative
0,20200121,1,0,0,0,0
1,20200122,1,0,0,0,0
2,20200123,1,0,0,0,0
3,20200124,2,0,0,0,0
4,20200125,2,0,0,0,0
5,20200126,2,0,0,0,0
6,20200127,4,0,0,57,0
7,20200128,4,0,0,57,0
8,20200129,4,0,0,183,0
9,20200130,7,0,0,240,0
10,20200131,11,0,0,298,240
11,20200201,12,0,0,371,289
12,20200202,15,0,0,414,327
13,20200203,15,0,0,475,414
14,20200204,16,0,0,591,462
15,20200205,21,0,1,696,522
16,20200206,24,0,2,862,693
17,20200207,24,0,2,1328,1001
18,20200208,24,0,2,2073,1134
19,20200209,27,0,3,2571,1683
20,20200210,27,0,4,3083,2552
21,20200211,28,0,4,4297,3535
22,20200212,28,0,7,5596,4811
23,20200213,28,0,7,6483,5921
24,20200214,28,0,7,7214,6679
25,20200215,28,0,9,7491,6853
26,20200216,29,0,9,8132,7647
27,20200217,30,0,10,8688,7980
28,20200218,39,0,12,9741,8923
29,20200219,46,0,16,11122,9973
30,20200220,104,1,16,13098,11238
31,20200221,204,1,17,16196,13016
32,20200222,433,3,18,21153,15116
33,20200223,608,6,18,22077,16038
34,20200224,843,7,22,31923,20292
35,20200225,977,10,22,35823,22550
36,20200226,1261,12,24,52292,31576
37,20200227,1766,13,26,64886,39318
38,20200228,2337,13,27,78830,48593
39,20200229,3150,17,28,90905,55723
40,20200301,3736,18,30,95185,61825
41,20200302,4212,22,31,105379,71580
42,20200303,4812,28,34,121039,85484
43,20200304,5328,32,41,131379,102965
44,20200305,5766,35,88,140775,118965
45,20200306,6284,44,108,158456,136624
46,20200307,6767,44,118,171422,151802
47,20200308,7134,50,130,181384,162008
48,20200309,7382,51,166,189236,171778
49,20200310,7513,54,247,202631,184179
50,20200311,7755,60,288,214640,196100
51,20200312,7869,66,333,227129,209402
52,20200313,7979,67,510,240668,222728
53,20200314,8086,72,714,253249,235615
54,20200315,8162,75,834,260050,243778
55,20200316,8236,75,1137,266268,251297
56,20200317,8320,81,1401,278396,261105
57,20200318,8413,84,1540,287234,270888
58,20200319,8565,91,1947,298459,282555
59,20200320,8652,94,2233,308012,292487
60,20200321,8799,102,2612,318710,303006
61,20200322,8897,104,2909,322883,308343
62,20200323,8961,111,3166,329075,315447
63,20200324,9037,120,3507,339545,324105
64,20200325,9137,126,3730,348759,334481
65,20200326,9241,131,4144,355701,341332
66,20200327,9332,139,4528,367629,352410
67,20200328,9478,144,4811,378447,361883
68,20200329,9583,152,5033,384558,369530
69,20200330,9661,158,5228,385533,372002
70,20200331,9786,162,5408,400778,383886
71,20200401,9887,165,5567,411660,395075
72,20200402,9976,169,5828,421767,403882
73,20200403,10062,174,6021,433211,414303
74,20200404,10156,177,6325,444876,424732
75,20200405,10237,183,6463,450996,431425
76,20200406,10284,186,6598,456520,437225
77,20200407,10331,192,6694,466973,446323
78,20200408,10384,200,6776,475619,457761
79,20200409,10423,204,6973,484288,468779
80,20200410,10450,208,7117,492601,477303
81,20200411,10480,211,7243,499999,485929
82,20200412,10512,214,7368,504109,490321
83,20200413,10537,217,7447,508206,494815
84,20200414,10564,222,7534,516874,502223
85,20200415,10591,225,7616,523961,508935
86,20200416,10613,229,7757,528162,513894
87,20200417,10635,230,7829,535828,521642
88,20200418,10653,232,7937,544181,530631
89,20200419,10661,234,8042,548448,536205
90,20200420,10674,236,8114,552361,540380
91,20200421,10683,237,8213,560331,547610
92,20200422,10694,238,8277,567265,555144
93,20200423,10702,240,8411,573269,563130
94,20200424,10708,240,8501,578812,569212
95,20200425,10718,240,8635,584443,575184
96,20200426,10728,242,8717,587557,578558
97,20200427,10738,243,8764,590922,582027
98,20200428,10752,244,8854,597762,588559
99,20200429,10761,246,8922,603436,595129
100,20200430,10765,247,9059,609116,600482
101,20200501,10774,248,9072,612295,603610
102,20200502,10780,250,9123,616782,608286
103,20200503,10793,250,9183,620180,611592
104,20200504,10801,252,9217,623120,614944
105,20200505,10804,254,9283,629433,620575
106,20200506,10806,255,9333,632289,624280
107,20200507,10810,256,9419,638578,630149
108,20200508,10822,256,9484,644041,635174
109,20200509,10840,256,9568,649190,640037
110,20200510,10874,256,9610,653012,642884
111,20200511,10909,256,9632,657583,646661
112,20200512,10936,258,9670,669954,653624
113,20200513,10962,259,9695,684958,665379
114,20200514,10991,260,9762,700493,679771
115,20200515,11018,260,9821,715729,695854
116,20200516,11037,262,9851,730108,711265
117,20200517,11050,262,9888,736603,718943
118,20200518,11065,263,9904,742146,726053
119,20200519,11078,263,9938,754496,737571
120,20200520,11110,263,10066,765323,748972
121,20200521,11122,264,10135,777562,759473
122,20200522,11142,264,10162,791276,770990
123,20200523,11165,266,10194,803255,781686
124,20200524,11190,266,10213,809099,788766
125,20200525,11206,267,10226,815231,796142
126,20200526,11225,269,10275,828250,806206
127,20200527,11265,269,10295,841611,820550
128,20200528,11344,269,10340,857322,834952
129,20200529,11402,269,10363,873718,849161
130,20200530,11441,269,10398,891460,865162
131,20200531,11468,270,10405,899354,876060
132,20200601,11503,271,10422,909888,885830
133,20200602,11541,272,10446,928310,899388
134,20200603,11590,273,10467,945262,917397
135,20200604,11629,273,10499,962229,934030
136,20200605,11668,273,10506,979292,950526
137,20200606,11719,273,10531,993586,965632
138,20200607,11776,273,10552,1000993,974512
139,20200608,11814,273,10563,1006400,982026
140,20200609,11852,274,10589,1024145,996686
141,20200610,11902,276,10611,1040070,1013847
142,20200611,11947,276,10654,1054941,1029447
